COUNTRY_YEAR_ID,YEAR,COUNTRY_CODE
1332,2022,BELI
1333,2022,SOMA
1334,2022,BHUT
1335,2022,SOML
1336,2022,SUDA
1337,2022,ANGO
1338,2022,SYRI
1339,2022,NOTM
1340,2022,OMAN
1341,2022,DJIB
1342,2022,CZEC
1343,2022,ESWA
1344,2022,XX
1345,2023,FINL
1346,2023,DENM
1347,2023,SWIT
1348,2023,ICEL
1349,2023,NORW
1350,2023,NETH
1351,2023,SWED
1352,2023,NEWZ
1353,2023,AUST
1354,2023,LUXE
1355,2023,CANA
1356,2023,AUS
1357,2023,UK
1358,2023,ISRA
1359,2023,COST
1360,2023,IREL
1361,2023,GERM
1362,2023,USA
1363,2023,CZER
1364,2023,BELG
1365,2023,UAE
1366,2023,MALT
1367,2023,FRAN
1368,2023,MEXI
1369,2023,TAIW
1370,2023,URUG
1371,2023,SAUD
1372,2023,SPAI
1373,2023,GUAT
1374,2023,ITAL
1375,2023,SING
1376,2023,BRAZ
1377,2023,SLON
1378,2023,ELS
1379,2023,KOSO
1380,2023,PANA
1381,2023,SLOV
1382,2023,UZBE
1383,2023,CHIL
1384,2023,BAHR
1385,2023,LITH
1386,2023,TRIN
1387,2023,POLA
1388,2023,COLO
1389,2023,CYPR
1390,2023,NICA
1391,2023,ROMA
1392,2023,KUWA
1393,2023,MARI
1394,2023,KAZA
1395,2023,ESTO
1396,2023,PHIL
1397,2023,HUNG
1398,2023,THAI
1399,2023,ARGE
1400,2023,HOND
1401,2023,LATV
1402,2023,ECUA
1403,2023,PORT
1404,2023,JAMA
1405,2023,SKOR
1406,2023,JAPA
